Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,4.789790,4.841280,4.775900,4.789790,4.789790,0
2022-11-04,4.815200,4.815800,4.714310,4.815200,4.815200,0
2022-11-07,4.721600,4.728700,4.671910,4.721600,4.721600,0
2022-11-08,4.661100,4.702840,4.639700,4.661100,4.661100,0
2022-11-09,4.654700,4.698400,4.643600,4.654700,4.654700,0
2022-11-10,4.699900,4.746930,4.603100,4.699900,4.699900,0
2022-11-11,4.594770,4.611300,4.526400,4.594770,4.594770,0
2022-11-14,4.524100,4.567650,4.513800,4.524100,4.524100,0
2022-11-15,4.564200,4.565400,4.477250,4.564200,4.564200,0
2022-11-16,4.574700,4.624100,4.499000,4.574700,4.574700,0
2022-11-17,4.518600,4.573000,4.506900,4.518600,4.518600,0
2022-11-18,4.540870,4.559150,4.521500,4.540870,4.540870,0
2022-11-21,4.550300,4.606300,4.548600,4.550300,4.550300,0
2022-11-22,4.584424,4.593150,4.571765,4.584424,4.584424,0
2022-11-23,4.563431,4.567886,4.525800,4.563431,4.563431,0
2022-11-24,4.511900,4.527794,4.498100,4.511900,4.511900,0
2022-11-25,4.512600,4.529944,4.496300,4.512600,4.512600,0
2022-11-28,4.522352,4.537299,4.458850,4.522352,4.522352,0
2022-11-29,4.526350,4.532100,4.495200,4.526350,4.526350,0
2022-11-30,4.526183,4.540510,4.483968,4.526183,4.526183,0
2022-12-01,4.476762,4.513550,4.448000,4.476762,4.476762,0
2022-12-02,4.451180,4.493350,4.438858,4.451180,4.451180,0
2022-12-05,4.428415,4.488242,4.409446,4.428415,4.428415,0
2022-12-06,4.485600,4.503800,4.453379,4.485600,4.485600,0
2022-12-07,4.478761,4.494252,4.453400,4.478761,4.478761,0
2022-12-08,4.461093,4.478598,4.432021,4.461093,4.461093,0
2022-12-09,4.433900,4.461618,4.419076,4.433900,4.433900,0
2022-12-12,4.455713,4.469600,4.431100,4.455713,4.455713,0
2022-12-13,4.446426,4.458350,4.394430,4.446426,4.446426,0
2022-12-14,4.412893,4.433745,4.385516,4.412893,4.412893,0
2022-12-15,4.380911,4.420360,4.367500,4.380911,4.380911,0
2022-12-16,4.409315,4.424390,4.394140,4.409315,4.409315,0
2022-12-19,4.430290,4.434031,4.396400,4.430290,4.430290,0
2022-12-20,4.413762,4.429300,4.385469,4.413762,4.413762,0
2022-12-21,4.393600,4.402255,4.373600,4.393600,4.393600,0
2022-12-22,4.390403,4.391573,4.362177,4.390403,4.390403,0
2022-12-23,4.373750,4.381285,4.361664,4.373750,4.373750,0
2022-12-26,4.362880,4.374700,4.358215,4.362880,4.362880,0
2022-12-27,4.361909,4.421230,4.352452,4.361909,4.361909,0
2022-12-28,4.396038,4.425302,4.389740,4.396038,4.396038,0
2022-12-29,4.411478,4.420972,4.378580,4.411478,4.411478,0
2022-12-30,4.384700,4.409290,4.370814,4.384700,4.384700,0
2023-01-02,4.361467,4.392706,4.356114,4.361467,4.361467,0
2023-01-03,4.370935,4.460713,4.365896,4.370935,4.370935,0
2023-01-04,4.428557,4.429256,4.386548,4.428557,4.428557,0
2023-01-05,4.398900,4.454300,4.386019,4.398900,4.398900,0
2023-01-06,4.446735,4.477054,4.423600,4.446735,4.446735,0
2023-01-09,4.402554,4.404907,4.361894,4.402554,4.402554,0
2023-01-10,4.368766,4.380834,4.354732,4.368766,4.368766,0
2023-01-11,4.362758,4.373082,4.339262,4.362758,4.362758,0
2023-01-12,4.350160,4.368920,4.323620,4.350160,4.350160,0
2023-01-13,4.322300,4.346332,4.311828,4.322300,4.322300,0
2023-01-16,4.333363,4.353962,4.312092,4.333363,4.333363,0
2023-01-17,4.328101,4.352950,4.315712,4.328101,4.328101,0
2023-01-18,4.350864,4.364740,4.320109,4.350864,4.350864,0
2023-01-19,4.373863,4.394200,4.341671,4.373863,4.373863,0
2023-01-20,4.354179,4.363578,4.338419,4.354179,4.354179,0
2023-01-23,4.329100,4.343500,4.313573,4.330300,4.330300,0
2023-01-24,4.331520,4.348049,4.319945,4.331520,4.331520,0
2023-01-25,4.327345,4.341809,4.313699,4.327345,4.327345,0
2023-01-26,4.313600,4.344318,4.311868,4.313600,4.313600,0
2023-01-27,4.324700,4.341231,4.316815,4.324700,4.324700,0
2023-01-30,4.331363,4.338298,4.311897,4.331363,4.331363,0
2023-01-31,4.340300,4.361050,4.330633,4.340300,4.340300,0
2023-02-01,4.334404,4.337700,4.309100,4.334404,4.334404,0
2023-02-02,4.266113,4.303170,4.261361,4.266113,4.266113,0
2023-02-03,4.291472,4.356055,4.283493,4.291472,4.291472,0
2023-02-06,4.364600,4.428290,4.363600,4.364600,4.364600,0
2023-02-07,4.419400,4.472650,4.412200,4.419400,4.419400,0
2023-02-08,4.424900,4.429280,4.392000,4.424900,4.424900,0
2023-02-09,4.418800,4.423000,4.388900,4.418800,4.418800,0
2023-02-10,4.424200,4.478450,4.421400,4.424200,4.424200,0
2023-02-13,4.461231,4.492217,4.454478,4.461231,4.461231,0
2023-02-14,4.459319,4.471130,4.412350,4.459319,4.459319,0
2023-02-15,4.446300,4.470900,4.430858,4.446300,4.446300,0
2023-02-16,4.455150,4.484812,4.440022,4.455150,4.455150,0
2023-02-17,4.471090,4.500650,4.458270,4.471090,4.471090,0
2023-02-20,4.454355,4.458855,4.429900,4.454355,4.454355,0
2023-02-21,4.436537,4.464372,4.432700,4.436537,4.436537,0
2023-02-22,4.454800,4.475470,4.446749,4.454800,4.454800,0
2023-02-23,4.472450,4.492400,4.455000,4.472450,4.472450,0
2023-02-24,4.455652,4.482052,4.448382,4.455652,4.455652,0
2023-02-27,4.470351,4.480497,4.435272,4.470351,4.470351,0
2023-02-28,4.440600,4.456746,4.419400,4.440600,4.440600,0
2023-03-01,4.448039,4.450900,4.364500,4.448039,4.448039,0
2023-03-02,4.374810,4.433792,4.374537,4.374810,4.374810,0
2023-03-03,4.431294,4.445820,4.418023,4.431294,4.431294,0
2023-03-06,4.429332,4.432060,4.382200,4.429332,4.429332,0
2023-03-07,4.388177,4.437067,4.377175,4.388177,4.388177,0
2023-03-08,4.445240,4.462890,4.417527,4.445240,4.445240,0
2023-03-09,4.434400,4.440998,4.417903,4.434400,4.434400,0
2023-03-10,4.425200,4.434180,4.368192,4.425200,4.425200,0
2023-03-13,4.379500,4.408949,4.348670,4.379500,4.379500,0
2023-03-14,4.363150,4.389810,4.356900,4.363150,4.363150,0
2023-03-15,4.385253,4.467184,4.369696,4.385253,4.385253,0
2023-03-16,4.442119,4.458908,4.408800,4.442119,4.442119,0
2023-03-17,4.425000,4.433715,4.397700,4.425000,4.425000,0
2023-03-20,4.403214,4.431300,4.382400,4.403214,4.403214,0
2023-03-21,4.384563,4.397556,4.346165,4.384563,4.384563,0
2023-03-22,4.347522,4.359610,4.336789,4.347522,4.347522,0
2023-03-23,4.307888,4.308965,4.283440,4.307888,4.307888,0
2023-03-24,4.320700,4.377544,4.317000,4.320700,4.320700,0
2023-03-27,4.346662,4.358532,4.336469,4.346662,4.346662,0
2023-03-28,4.336100,4.337500,4.310470,4.336100,4.336100,0
2023-03-29,4.313725,4.330000,4.306586,4.313725,4.313725,0
2023-03-30,4.320050,4.328950,4.279500,4.320050,4.320050,0
2023-03-31,4.285800,4.309250,4.275434,4.285800,4.285800,0
2023-04-03,4.325500,4.340719,4.282179,4.325500,4.325500,0
2023-04-04,4.282139,4.294117,4.262733,4.282139,4.282139,0
2023-04-05,4.266484,4.301460,4.259823,4.266484,4.266484,0
2023-04-06,4.295148,4.305450,4.283243,4.295148,4.295148,0
2023-04-07,4.288400,4.300900,4.279883,4.288400,4.288400,0
2023-04-10,4.287619,4.328490,4.283411,4.287619,4.287619,0
2023-04-11,4.311700,4.314519,4.267600,4.311700,4.311700,0
2023-04-12,4.275094,4.278750,4.231300,4.275094,4.275094,0
2023-04-13,4.230030,4.235650,4.186897,4.230030,4.230030,0
2023-04-14,4.191740,4.227267,4.180808,4.191740,4.191740,0
2023-04-17,4.222566,4.242126,4.209213,4.222566,4.222566,0
2023-04-18,4.237970,4.240064,4.204171,4.237970,4.237970,0
2023-04-19,4.209001,4.236614,4.200734,4.209001,4.209001,0
